district,precinct
1,33013PITF01
1,33017STFD01
1,33013CANT01
1,33013LOUD01
1,33011AMHE01
1,33011BEDF01
1,33011HOLL01
1,33011MERR01
1,33011MONT01
1,33011NBOS01
1,33011GOFF01
1,33011MANC08
1,33011MANC09
1,33011MANC10
1,33011WEAR01
1,33011MANC11
1,33011MANC12
1,33013DUNB01
1,33013HOOK01
1,33011NASH01
1,33011NASH05
1,33011HUDS01
1,33011LITC01
1,33011NASH03
1,33011NASH07
1,33011PELH01
1,33015LOND01
1,33015WNDM01
1,33011MANC01
1,33011MANC02
1,33011MANC03
1,33011MANC04
1,33011MANC06
1,33015AUBU01
1,33011MANC05
1,33011MANC07
1,33011NASH02
1,33011NASH04
1,33011NASH06
1,33011NASH09
1,33011NASH08
1,33015SALE01
1,33013HOPK01
1,330130BOW01
1,33013ALLE01
1,33013CONC05
1,33013CONC06
1,33013CONC07
1,33013CONC08
1,33013PEMB01
1,33013EPSO01
1,33015DFLD01
1,33013CONC01
1,33013CONC10
1,33013CHIC01
1,33013CONC02
1,33013CONC03
1,33013CONC04
1,33013CONC09
1,33015NTHW01
1,33015CAND01
1,330150RYE01
1,33015GRND01
1,33015NCAS01
1,33015NOHA01
1,33015PORT03
1,33015PORT04
1,33015PORT05
1,33015ZZZZZZ
1,33015ATKI01
1,33015DERR02
1,33015HMST01
1,33015PLAI01
1,33015CHSR01
1,33015DERR03
1,33015BREN01
1,33015EPPI01
1,33015EXET01
1,33015FREM01
1,33015KING01
1,33015RAYM01
1,33015SNDN01
1,33015DANV01
1,33015DERR01
1,33015DERR04
1,33015NOTT01
1,33015EKIN01
1,33015KENS01
1,33015NEWT01
1,33015SOHA01
1,33015NEWF01
1,33015NMAR01
1,330170LEE01
1,33015HAFA01
1,33015HMTN01
1,33015STRM01
1,33015NWIN01
1,33015SEAB01
1,33017DURH01
1,33017BARR01
1,33015PORT01
1,33017DOVE03
1,33015PORT02
1,33017MADB01
1,33017DOVE05
1,33017ROCH03
1,33017ROCH05
1,33017DOVE01
1,33017DOVE02
1,33017DOVE06
1,33017ROLL01
1,33017DOVE04
1,33017SOME02
1,33017SOME03
1,33017SOME04
1,33017ROCH01
1,33017ROCH02
1,33017ROCH06
1,33017SOME01
1,33017ROCH04
1,33017SOME05
2,33001ALTO01
2,33001BARN01
2,33001GILF01
2,33001GILM01
2,33003MOUL01
2,33003TUFT01
2,33003WOLF01
2,33017NDUR01
2,33001BELM01
2,33001LACO03
2,33001LACO04
2,33001SANB01
2,33001TILT01
2,33013NFLD01
2,33001CENT01
2,33001MERE01
2,33001NEWH01
2,33009HOLD01
2,33001LACO01
2,33001LACO02
2,33001LACO05
2,33001LACO06
2,33009ASHL01
2,33009BRID01
2,33009BRIS01
2,33013HILL01
2,33013FRAN01
2,33013FRAN03
2,33003ALBA01
2,33003BART01
2,33003CONW01
2,33003HALE01
2,33003MADI01
2,33003SAND01
2,33003TAMW01
2,33009LIVE01
2,33009WATE01
2,33003CHAT01
2,33003HART01
2,33003JACK01
2,33007HADL01
2,33007SARG01
2,33003BROO01
2,33003WAKE01
2,33017MIDD01
2,33007BPUR01
2,33003EATO01
2,33003FREE01
2,33003EFFI01
2,33003OSSI01
2,33007BGRT01
2,33007CARR01
2,33007CUTT01
2,33009BETH01
2,33007PINK01
2,33009CAMP01
2,33009THOR01
2,33017MILT01
2,33005ALST01
2,33005GILS01
2,33005MRLW01
2,33005SURR01
2,33005WALP01
2,33019ACWO01
2,33019LANG01
2,33005CHES01
2,33005HINS01
2,33005KEEN05
2,33005SWAN01
2,33005WEST01
2,33005WINC01
2,33005DUBL01
2,33005HARR01
2,33005JAFF01
2,33005MRLB01
2,33011PETE01
2,33005FITZ01
2,33005RICH01
2,33005RIND01
2,33005TROY01
2,33005KEEN02
2,33005KEEN03
2,33005STOD01
2,33005SULL01
2,33005NELS01
2,33005ROXB01
2,33011HANC01
2,33011SHAR01
2,33005KEEN01
2,33005KEEN04
2,33019LEMP01
2,33019WASH01
2,33011ANTR01
2,33011NIPS01
2,33011WNDS01
2,33019CHAR01
2,33007ATGT01
2,33007CLAR01
2,33007DIXG01
2,33007PITB01
2,33007SECO01
2,33007BERL01
2,33007BERL02
2,33007BERL03
2,33007GORH01
2,33007KILK01
2,33007MILA01
2,33007RAND01
2,33007SUCC01
2,33007CHAN01
2,33007CRAW01
2,33007GRGT01
2,33007MART01
2,33007SHEL01
2,33007CAMB01
2,33007DUMM01
2,33007ERRO01
2,33007JEFF01
2,33007LOWB01
2,33007WHIT01
2,33007THOM01
2,33007DIXV01
2,33007STEW01
2,33007COLE01
2,33007COLU01
2,33007ERVI01
2,33007ODEL01
2,33007STRT01
2,33007DALT01
2,33007LANC01
2,33009LITT01
2,33007WENL01
2,33007MILL01
2,33007STAR01
2,33007NORU01
2,33009ALEX01
2,33009GRAF01
2,33009GROT01
2,33009HEBR01
2,33009ORAN01
2,33013DANB01
2,33009PLYM01
2,33009BATH01
2,33009HAVE01
2,33009LAND01
2,33009LISB01
2,33009LYMA01
2,33009MONR01
