district,precinct
2,16055552016
2,16055552022
2,16055552017
2,16055552019
2,16055552020
2,16055553028
2,16055554037
2,16055554039
2,16055552021
2,16055554040
2,16055552041
2,16055554047
2,16055554050
2,16055554046
2,16055552067
2,16055554049
2,16055554052
2,16055554057
2,16055554058
2,16055554060
2,16055554062
2,16055553066
2,16055553024
2,16055553025
2,16055553026
2,16055553027
2,16055553063
2,16055553029
2,16055553031
2,16055553030
2,16055553036
2,16055553033
2,16055553032
2,16055553034
2,16055553035
2,16055553064
2,16055554043
2,16055553065
2,16055554051
2,16055554054
2,16055554038
2,16055554042
2,16055554045
2,16055554044
2,16055554048
2,16055554053
2,16055554055
2,16055554056
2,16055554059
2,16059598004
2,16059598002
2,16059598007
2,16059598005
2,16059598006
2,16067672706
2,16065653403
2,16065653408
2,16065653415
2,16065653418
2,16065653405
2,16065653407
2,16065653409
2,16065653411
2,16065653414
2,16065653416
2,16065653410
2,16065653412
2,16065653413
2,16081813202
2,16067672705
2,160676727B1
2,16067672709
2,160676727A1
2,16071713202
2,16071713206
2,16081813203
2,16081813204
2,16081813205
2,16081813206
2,16083832302
2,16083832503
2,16083832505
2,16083832506
2,16083832303
2,16083832504
2,16083832508
2,16083832526
2,16083832401
2,16083832402
2,16083832407
2,16083832409
2,16083832412
2,16083832413
2,16083832415
2,16083832403
2,16083832416
2,16083832404
2,16083832405
2,16083832417
2,16083832422
2,16083832406
2,16083832408
2,16083832410
2,16083832411
2,16083832511
2,16083832512
2,16083832525
2,16083832414
2,16083832418
2,16083832507
