district,precinct
3,0900303-105
3,0900303-099
3,0900303-104
3,0900303-107
3,0900303-120
3,0900303-100
3,0900303-111
3,0900303-102
3,0900303-103
3,0900303-106
3,0900303-112
3,0900303-108
3,0900303-115
3,0900303-116
3,0900303-121
3,0900303-122
3,0900303-160
3,0900303-129
3,0900303-162
3,0900303-136
3,0900707-017
3,0900707-019
3,0900707-025
3,0900707-027
3,0900707-026
3,0900707-023
3,0900707-018
3,0900707-024
3,0900707-028
3,0900707-029
3,0900707-030
3,0900707-022
3,0900707-021
4,0900101-001
4,0900101-002
4,0900101-003
4,0900101-004
4,0900101-006
4,0900101-044
4,0900101-005
4,0900101-035
4,0900101-043
4,0900101-099
4,0900101-100
4,0900101-118
4,0900101-045
4,0900101-046
4,0900101-048
4,0900101-034
4,0900101-042
4,0900101-097
4,0900505-024
4,0900505-025
4,0900505-003
4,0900101-036
4,0900101-037
4,0900101-038
4,0900101-039
4,0900101-040
4,0900101-047
4,0900101-053
4,0900101-054
4,0900101-041
4,0900101-098
4,0900101-049
4,0900101-050
4,0900101-121
4,0900101-051
4,0900101-052
4,0900101-120
4,0900101-122
4,0900101-090
4,0900101-102
4,0900101-093
4,0900101-103
4,0900101-101
4,0900101-128
4,0900505-021
4,0900909-147
4,0900909-149
4,0900505-011
4,0900505-022
4,0900303-001
4,0900303-003
4,0900303-024
4,0900303-049
4,0900303-132
4,0900303-023
4,0900303-143
4,0900303-014
4,0900303-015
4,0900303-016
4,0900303-017
4,0900303-018
4,0900303-019
4,0900303-047
4,0900303-048
4,0900303-022
4,0900303-125
4,0900303-021
4,0900505-028
4,0900303-020
4,0900909-192
4,0900303-145
4,0900303-124
4,0900505-010
4,0900505-018
4,0900303-058
4,0900505-001
4,0900505-017
4,0900303-126
4,0900303-086
4,0900505-005
4,0900303-123
4,0900303-146
4,0900303-147
4,0900303-141
4,0900303-142
4,0900303-149
4,0900303-144
4,0900303-148
4,0900909-191
4,0900505-050
4,0900505-002
4,0900505-016
4,0900505-045
4,0900505-047
4,0900505-051
4,0900505-019
4,0900505-029
4,0900505-004
4,0900505-006
4,0900505-026
4,0900505-027
4,0900505-030
4,0900505-007
4,0900505-008
4,0900505-031
4,0900505-044
4,0900505-012
4,0900505-034
4,0900505-009
4,0900505-054
4,0900505-013
4,0900505-015
4,0900505-032
4,0900505-033
4,0900505-053
4,0900505-023
4,0900505-014
4,0900505-038
4,0900505-020
4,0900909-165
4,0900909-193
4,0900505-046
4,0900505-049
4,0900505-036
4,0900505-037
4,0900505-039
4,0900505-035
4,0900505-043
4,0900505-042
4,0900505-048
4,0900505-052
4,0900909-148
4,0900909-170
5,0900101-163
5,0900101-159
5,0900101-189
5,0900101-123
5,0900909-141
5,0900101-124
5,0900101-126
5,0900909-024
5,0900909-145
5,0900101-125
5,0900909-026
5,0900909-140
5,0900101-166
5,0900101-198
5,0900909-075
5,0900101-160
5,0900101-161
5,0900101-194
5,0900101-195
5,0900909-069
5,0900909-071
5,0900909-072
5,0900101-162
5,0900101-164
5,0900101-165
5,0900101-190
5,0900101-197
5,0900101-196
5,0900101-167
5,0900909-073
5,0900909-076
5,0900303-007
5,0900303-139
5,0900909-060
5,0900909-066
5,0900303-140
5,0900909-018
5,0900909-022
5,0900909-019
5,0900909-068
5,0900909-167
5,0900909-067
5,0900707-005
5,0900707-006
5,0900707-007
5,0900707-008
5,0900707-016
5,0900909-037
5,0900909-131
5,0900909-150
5,0900909-158
5,0900909-061
5,0900909-063
5,0900909-001
5,0900909-002
5,0900909-003
5,0900909-005
5,0900909-144
5,0900909-146
5,0900909-007
5,0900909-004
5,0900909-006
5,0900909-025
5,0900909-194
5,0900909-195
5,0900909-008
5,0900909-009
5,0900909-078
5,0900909-079
5,0900909-082
5,0900909-020
5,0900909-047
5,0900909-049
5,0900909-083
5,0900909-142
5,0900909-015
5,0900909-130
5,0900909-027
5,0900909-033
5,0900909-017
5,0900909-021
5,0900909-023
5,0900909-154
5,0900909-155
5,0900909-156
5,0900909-143
5,0900909-172
5,0900909-065
5,0900909-138
5,0900909-032
5,0900909-107
5,0900909-111
5,0900909-029
5,0900909-030
5,0900909-031
5,0900909-103
5,0900909-105
5,0900909-133
5,0900909-095
5,0900909-113
5,0900909-104
5,0900909-039
5,0900909-042
5,0900909-050
5,0900909-134
5,0900909-135
5,0900909-136
5,0900909-040
5,0900909-041
5,0900909-043
5,0900909-046
5,0900909-128
5,0900909-044
5,0900909-114
5,0900909-116
5,0900909-118
5,0900909-127
5,0900909-045
5,0900909-051
5,0900909-115
5,0900909-102
5,0900909-048
5,0900909-054
5,0900909-055
5,0900909-056
5,0900909-057
5,0900909-064
5,0900909-058
5,0900909-062
5,0900909-157
5,0900909-080
5,0900909-159
5,0900909-161
5,0900909-168
5,0900909-077
5,0900909-139
5,0900909-190
5,0900909-199
5,0900909-070
5,0900909-074
5,0900909-081
5,0900909-084
5,0900909-086
5,0900909-087
5,0900909-085
5,0900909-160
5,0900909-174
5,0900909-088
5,0900909-097
5,0900909-119
5,0900909-120
5,0900909-089
5,0900909-117
5,0900909-121
5,0900909-126
5,0900909-090
5,0900909-091
5,0900909-093
5,0900909-124
5,0900909-186
5,0900909-092
5,0900909-096
5,0900909-094
5,0900909-185
5,0900909-098
5,0900909-099
5,0900909-181
5,0900909-182
5,0900909-184
5,0900909-100
5,0900909-108
5,0900909-109
5,0900909-110
5,0900909-101
5,0900909-106
5,0900909-112
5,0900909-122
5,0900909-123
5,0900909-125
5,0900909-129
5,0900909-196
5,0900909-137
5,0900909-132
5,0900909-153
5,0900909-197
5,0900909-173
5,0900909-151
5,0900909-152
5,0900909-179
5,0900909-180
5,0900909-162
5,0900909-163
5,0900909-166
5,0900909-169
5,0900909-177
5,0900909-164
5,0900909-171
5,0900909-178
5,0900909-175
5,0900909-176
5,0900909-198
